MRGID,GEONAME,TERRITORY1,ISO_TER1,SOVEREIGN1,TERRITORY2,ISO_TER2,SOVEREIGN2,MRGID_TER3,MRGID_SOV3,TERRITORY3,ISO_TER3,SOVEREIGN3,SIS_name0,SIS_name1,To_split
8367,Moroccan Exclusive Economic Zone,Morocco,MAR,Morocco,NA,NA,NA,0,0,NA,NA,NA,Morocco,,
8347,Mozambican Exclusive Economic Zone,Mozambique,MOZ,Mozambique,NA,NA,NA,0,0,NA,NA,NA,Mozambique,,
8482,Myanmar Exclusive Economic Zone,Myanmar,MMR,Myanmar,NA,NA,NA,0,0,NA,NA,NA,Myanmar,,
49001,Overlapping claim Alhucemas Islands: Spain / Morocco,Alhucemas Islands,NA,Spain,Alhucemas Islands,NA,Morocco,0,0,NA,NA,NA,Spain,Spanish North African Territories,
48997,Overlapping claim Chafarinas Islands: Spain / Morocco,Chafarinas Islands,NA,Spain,Chafarinas Islands,NA,Morocco,0,0,NA,NA,NA,Spain,Spanish North African Territories,
48956,Overlapping claim Doumeira Islands: Djibouti / Eritrea,Doumeira Islands,NA,Eritrea,Doumeira Islands,NA,Djibouti,0,0,NA,NA,NA,Eritrea,,
48945,Overlapping claim Glorioso Islands: France / Madagascar,Glorioso Islands,NA,Madagascar,Glorioso Islands,ATF,France,0,0,NA,NA,NA,French Southern Territories,Mozambique Channel Is.,
48946,Overlapping claim Ile Tromelin: Reunion / Madagascar / Mauritus,Ile Tromelin,NA,France,Ile Tromelin,NA,Madagascar,8613,8614,Ile Tromelin,NA,Republic of Mauritius,French Southern Territories,Mozambique Channel Is.,
8442,Jarvis Island Exclusive Economic Zone,Jarvis Island,UMI,United States,NA,NA,NA,0,0,NA,NA,NA,United States Minor Outlying Islands,US Line Is.,
48950,Overlapping claim Kuril Islands: Japan / Russia,Kuril Islands,NA,Japan,Kuril Islands,NA,Russia,0,0,NA,NA,NA,Russian Federation,,
48955,Overlapping claim Liancourt Rocks: Japan / South Korea,Liancourt Rocks,NA,Japan,Liancourt Rocks,NA,South Korea,0,0,NA,NA,NA,"Korea, Republic of",,
48948,Overlapping claim Matthew and Hunter Islands: New Caledonia / Vanuatu,Matthew and Hunter Islands,NA,France,Matthew and Hunter Islands,NA,Vanuatu,0,0,NA,NA,NA,New Caledonia,,
49000,Overlapping claim Melilla: Spain / Morocco,Melilla,NA,Spain,Melilla,NA,Morocco,0,0,NA,NA,NA,Spain,Spanish North African Territories,
21791,Oecussi Ambeno Exclusive Economic Zone,Oecusse,NA,East Timor,NA,NA,NA,0,0,NA,NA,NA,Timor-Leste,,
8443,Palmyra Atoll Exclusive Economic Zone,Palmyra Atoll,UMI,United States,NA,NA,NA,0,0,NA,NA,NA,United States Minor Outlying Islands,US Line Is.,
48999,Overlapping claim Peñón de Vélez de la Gomera: Spain / Morocco,Peñón de Vélez de la Gomera,NA,Spain,Peñón de Vélez de la Gomera,NA,Morocco,0,0,NA,NA,NA,Spain,Spanish North African Territories,
48998,Overlapping claim Perejil Island: Spain / Morocco,Perejil Island,NA,Spain,Perejil Island,NA,Morocco,0,0,NA,NA,NA,Spain,Spanish North African Territories,
48954,Overlapping claim Senkaku Islands: Japan / China / Taiwan,Senkaku Islands,NA,Taiwan,Senkaku Islands,NA,Japan,48936,8603,Senkaku Islands,NA,China,Japan,,
21796,Joint regime area Japan / Korea,South Korea,KOR,South Korea,Japan,JPN,Japan,0,0,NA,NA,NA,South Korea,,
48978,Joint regime area United States / Russia,United States,USA,United States,Russia,RUS,Russia,0,0,NA,NA,NA,United States of America,,
48965,Overlapping claim: Venezuela / Aruba / Dominican Republic,Venezuela,VEN,Venezuela,Aruba,ABW,Netherlands,8640,8640,Dominican Republic,DOM,Dominican Republic,"Venezuela, Bolivarian Republic of",,
8395,Namibian Exclusive Economic Zone,Namibia,NAM,Namibia,NA,NA,NA,0,0,NA,NA,NA,Namibia,,
8317,Nauruan Exclusive Economic Zone,Nauru,NRU,Nauru,NA,NA,NA,0,0,NA,NA,NA,Nauru,,
5668,Dutch Exclusive Economic Zone,Netherlands,NLD,Netherlands,NA,NA,NA,0,0,NA,NA,NA,Netherlands,,
8312,New Caledonian Exclusive Economic Zone,New Caledonia,NCL,France,NA,NA,NA,0,0,NA,NA,NA,New Caledonia,,
8455,New Zealand Exclusive Economic Zone,New Zealand,NZL,New Zealand,NA,NA,NA,0,0,NA,NA,NA,New Zealand,,
8425,Nicaraguan Exclusive Economic Zone,Nicaragua,NIC,Nicaragua,NA,NA,NA,0,0,NA,NA,NA,Nicaragua,,
8474,Nigerian Exclusive Economic Zone,Nigeria,NGA,Nigeria,NA,NA,NA,0,0,NA,NA,NA,Nigeria,,
8447,Niue Exclusive Economic Zone,Niue,NIU,New Zealand,NA,NA,NA,0,0,NA,NA,NA,Niue,,
8310,Norfolk Island Exclusive Economic Zone,Norfolk Island,NFK,Australia,NA,NA,NA,0,0,NA,NA,NA,Norfolk Island,,
48980,Northern Mariana Exclusive Economic Zone,Northern Mariana Islands,MNP,United States,NA,NA,NA,0,0,NA,NA,NA,Northern Mariana Islands,,
48977,Joint regime area Sweden / Norway,Norway,NOR,Norway,Sweden,SWE,Sweden,0,0,NA,NA,NA,Norway,,
5686,Norwegian Exclusive Economic Zone,Norway,NOR,Norway,NA,NA,NA,0,0,NA,NA,NA,Norway,,
8354,Omani Exclusive Economic Zone,Oman,OMN,Oman,NA,NA,NA,0,0,NA,NA,NA,Oman,,
8359,Pakistani Exclusive Economic Zone,Pakistan,PAK,Pakistan,NA,NA,NA,0,0,NA,NA,NA,Pakistan,,
8315,Palau Exclusive Economic Zone,Palau,PLW,Palau,NA,NA,NA,0,0,NA,NA,NA,Palau,,
48953,Palestinian Exclusive Economic Zone,Palestine,PSE,Palestine,Israel,ISR,Israel,0,0,NA,NA,NA,"Palestine, State of",,
